# FlightWaves – Lärmklassen (ICAO-Typenkürzel -> Klasse)
#
# Erzeugt mit tool/build_noise_classes.py.
# Ebene 1 kuratiert: 168 Verkehrsflugzeuge aus flightwaves-app-android
# Ebene 2 Sammelkürzel: 44
# Ebene 3 Doc 8643 (.work/doc8643.csv): der Rest
# Einträge: 2730
typecode,noise_class
DELF,lightPiston
DFL6,lightPiston
DFLY,lightPiston
DG15,lightPiston
DG1T,lightPiston
DG40,lightPiston
DG50,lightPiston
DG60,lightPiston
DG80,lightPiston
DH2T,turboprop
DH3T,turboprop
DH4T,turboprop
DH60,lightPiston
DH80,lightPiston
DH82,lightPiston
DH83,lightPiston
DH84,lightPiston
DH85,lightPiston
DH87,lightPiston
DH88,lightPiston
DH89,lightPiston
DH8A,turboprop
DH8B,turboprop
DH8C,turboprop
DH8D,turboprop
DH90,lightPiston
DH94,lightPiston
DHA3,lightPiston
DHC1,lightPiston
DHC2,lightPiston
DHC3,lightPiston
DHC4,lightPiston
DHC5,turboprop
DHC6,turboprop
DHC7,turboprop
DIES,lightPiston
DIMO,lightPiston
DISC,unpowered
DJIN,helicopter
DLH2,unpowered
DNGO,turboprop
DO27,lightPiston
DO28,lightPiston
DOCX,lightPiston
DON,lightPiston
DOVE,lightPiston
DR1,lightPiston
DR10,lightPiston
DR22,lightPiston
DR30,lightPiston
DR40,lightPiston
DRAG,helicopter
DRIF,lightPiston
DRON,unpowered
DRTG,lightPiston
DSA1,lightPiston
DSK,lightPiston
DSLK,lightPiston
DT45,turboprop
DTA1,lightPiston
DTA2,lightPiston
DUB2,lightPiston
DUCE,lightPiston
DUOD,unpowered
DUR5,lightPiston
DV1,lightPiston
DV2,lightPiston
DV20,lightPiston
DW1,lightPiston
DWD2,lightPiston
DYH2,helicopter
DYH3,helicopter
E110,turboprop
E120,turboprop
E121,turboprop
E135,regionalJet
E145,regionalJet
E170,regionalJet
E175,regionalJet
E190,mediumJet
E195,mediumJet
E2,turboprop
E200,lightPiston
E230,lightPiston
E275,mediumJet
E290,mediumJet
E295,mediumJet
E29E,unpowered
E2CB,lightPiston
E300,lightPiston
E314,turboprop
E350,turboprop
E35L,mediumJet
E390,mediumJet
E3CF,heavyJet
E3TF,heavyJet
E400,lightPiston
E45X,mediumJet
E500,turboprop
E50P,regionalJet
E530,mediumJet
E545,mediumJet
E550,mediumJet
E55P,regionalJet
E6,heavyJet
E737,mediumJet
E75L,regionalJet
E75S,regionalJet
E767,heavyJet
EA40,regionalJet
EA50,regionalJet
EAEA,lightPiston
EAGL,lightPiston
EAGT,lightPiston
EAGX,lightPiston
EB29,lightPiston
EBOY,lightPiston
EC20,helicopter
EC25,helicopter
EC30,helicopter
